Class,Name,Brand,Group,RAW SIZE,Diameter,Width,BOLT PATTERN,BOLT PATTERN #2,Centerbore,Finish,Purchase Description,Inventory Location,Location Available,Location On Order,Location On Water,China Stock,Production 2025,0-30 Days,31-90 Days,91-365 Days,0-60 days (0-2 mo),61-120 days (2-4 mo),121-180 days (4 to 6 mo),121-365 days  (4 to 12 mo),121-548 days (4 to 18 mo),121+ Days (all time),ALL Time,Average Cost,Location Average Cost,Price Level A,Price Level AC,Price Level C,Price Level D,Price Level E,Price Level H,Price Level DC-A,MAP,Purchase Price,SFTP,Profit %,On Sale,Discontinued Item,Exclude From Average Cost Update,Location Last Invoice Date,Location Last Receipt Date from PO,Location Last Receipt Date from TO,Location Last Receipt Date from RMA,Last Inventory Adjustment Date,Location Last Receipt Date (Any Type),Location First PO Date,Location First Receipt Date from PO (1st Time Entered Warehouse - Originating From a PO),Location First Receipt Date from TO,Location PO Count,Type
Wheel,HRE-693026X905127TB,HRE,WRK-Emotion,26,26,9,5x127,,74.1,Gloss Black,HRE WRK-Emotion 26x9,"Dallas, TX",41,0,0,0,0,0,0,10,1,1,1,7,5,9,36,189.99,186.47,Retail,275.3,249.08,235.97,222.86,209.75,196.64,222.86,208.99,267.43,27.54,No,No,,10/28/2025,4/17/2025,,,,4/17/2025,4/2/2024,11/24/2024,,7,Inventory Item
Wheel,HRE-693026X905127TB,HRE,WRK-Emotion,26,26,9,5x127,,74.1,Gloss Black,HRE WRK-Emotion 26x9,"Phoenix, AZ",24,0,0,0,0,0,29,39,15,16,8,14,10,9,81,189.99,185.25,Retail,275.3,249.08,235.97,222.86,209.75,196.64,222.86,208.99,267.43,27.54,No,No,,3/12/2026,11/25/2025,,1/27/2026,,11/25/2025,6/29/2024,8/30/2024,3/24/2025,5,Inventory Item
Wheel,HRE-693026X905127TB,HRE,WRK-Emotion,26,26,9,5x127,,74.1,Gloss Black,HRE WRK-Emotion 26x9,"Tampa, FL",61,0,0,0,0,0,0,0,0,0,0,0,0,0,5,189.99,181.62,Retail,275.3,249.08,235.97,222.86,209.75,196.64,222.86,208.99,267.43,27.54,No,No,,10/28/2025,9/24/2025,,,,9/24/2025,5/6/2024,4/26/2024,,1,Inventory Item
Wheel,HRE-693026X905127TB,HRE,WRK-Emotion,26,26,9,5x127,,74.1,Gloss Black,HRE WRK-Emotion 26x9,"Atlanta, GA",13,0,0,0,0,68,110,284,43,66,47,12,59,73,249,189.99,198.17,Retail,275.3,249.08,235.97,222.86,209.75,196.64,222.86,208.99,267.43,27.54,No,No,,11/8/2025,7/29/2025,,,,7/29/2025,4/4/2024,3/13/2025,5/3/2024,20,Inventory Item
Wheel,ROT-373922X1406135-12NC,Rotiform,RYS-TE37,22,22,14,6x135,,110.1,Gloss Black & Milled,Rotiform RYS-TE37 22x14,"Orlando, FL",0,116,0,135,0,0,3,5,2,3,1,5,1,1,34,115.99,119.29,Retail,176.6,159.78,151.37,142.96,134.55,126.14,142.96,127.59,171.55,31.04,No,No,,1/6/2026,2/9/2026,,,,2/9/2026,9/21/2024,12/25/2024,,9,Inventory Item
Wheel,ROT-373922X1406135-12NC,Rotiform,RYS-TE37,22,22,14,6x135,6x135,110.1,Gloss Black & Milled,Rotiform RYS-TE37 22x14,"Atlanta, GA",72,0,12,0,0,12,51,269,11,58,6,75,27,25,299,115.99,122.45,Retail,176.6,159.78,151.37,142.96,134.55,126.14,142.96,127.59,171.55,31.04,No,No,,11/13/2025,9/28/2025,,,,9/28/2025,2/9/2025,2/6/2025,,14,Inventory Item
Wheel,HRE-650118X1408170-24GB,HRE,WRK-Emotion,18,18,14,8x170,,87.1,Matte Black,HRE WRK-Emotion 18x14,"Atlanta, GA",3,0,0,0,0,1,5,7,1,3,2,3,4,4,21,262.99,245.73,Retail,383.84,347.28,329,310.73,292.45,274.17,310.73,289.29,372.87,28.06,No,Yes,,1/18/2026,8/12/2025,,,1/16/2026,8/12/2025,5/22/2024,10/16/2024,12/24/2024,6,Inventory Item
Wheel,HRE-650118X1408170-24GB,HRE,WRK-Emotion,18,18,14,8x170,8x170,87.1,Matte Black,HRE WRK-Emotion 18x14,"Houston, TX",72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.99,271.54,Retail,383.84,347.28,329,310.73,292.45,274.17,310.73,289.29,372.87,28.06,No,Yes,,12/19/2025,6/27/2025,7/5/2025,,,6/27/2025,10/18/2024,3/13/2025,,4,Inventory Item
Wheel,HRE-650118X1408170-24GB,HRE,WRK-Emotion,18,18,14,8x170,,87.1,Matte Black,HRE WRK-Emotion 18x14,"Orlando, FL",74,62,0,129,0,2,3,7,4,3,2,0,2,7,12,262.99,259.07,Retail,383.84,347.28,329,310.73,292.45,274.17,310.73,289.29,372.87,28.06,No,Yes,,12/20/2025,7/10/2025,,,,7/10/2025,1/16/2025,10/20/2024,,15,Inventory Item
Wheel,TSW-411526X1206132-24GB,TSW,ADV-GT,26,26,12,6x132,,106.1,Silver Machined,TSW ADV-GT 26x12,"Charlotte, NC",69,0,0,0,0,0,0,0,0,0,0,0,0,0,5,173.99,181.1,Retail,248.46,224.8,212.97,201.14,189.3,177.47,201.14,191.39,241.36,26.47,No,No,,10/10/2025,12/16/2025,12/22/2025,,,12/16/2025,12/7/2024,5/10/2024,,20,Inventory Item
Wheel,TSW-411526X1206132-24GB,TSW,ADV-GT,26,26,12,6x132,,106.1,Silver Machined,TSW ADV-GT 26x12,"Dallas, TX",12,0,0,0,0,64,71,210,62,27,37,57,25,31,515,173.99,178.66,Retail,248.46,224.8,212.97,201.14,189.3,177.47,201.14,191.39,241.36,26.47,No,No,,12/7/2025,4/15/2025,,,,4/15/2025,4/16/2024,6/5/2024,7/19/2024,1,Inventory Item
